Reg_cislo,Poradi,CJL_body,MA_body,CJL_skola,celkem,Prijat,Duvod_neprijeti
804625,6,49,44,73.5,117.5,ANO
800224,18,44,46,66,112,ANO
808949,21,45,44,67.5,111.5,ANO
817979,25,45,43,67.5,110.5,ANO
807705,27,47,39,70.5,109.5,ANO
815210,30,48,37,72,109,ANO
800470,32,42,46,63,109,ANO
814393,34,42,45,63,108,ANO
806087,36,45,40,67.5,107.5,ANO
805502,37,43,43,64.5,107.5,ANO
807274,39,41,46,61.5,107.5,ANO
808798,40,46,38,69,107,ANO
803845,44,43,42,64.5,106.5,ANO
812372,45,43,42,64.5,106.5,ANO
811160,46,44,40,66,106,ANO
808799,47,40,46,60,106,ANO
815380,50,39,46,58.5,104.5,ANO
810269,52,40,44,60,104,ANO
814392,53,40,43,60,103,ANO
803717,57,42,39,63,102,ANO
815374,58,42,39,63,102,ANO
806879,59,40,42,60,102,ANO
809310,62,43,36,64.5,100.5,ANO
811201,64,40,40,60,100,ANO
812728,65,38,43,57,100,ANO
811463,66,39,41,58.5,99.5,ANO
807135,68,37,44,55.5,99.5,ANO
807434,69,42,36,63,99,ANO
814570,72,40,39,60,99,ANO
804962,74,42,35,63,98,ANO
800678,1,49,50,73.5,123.5,NE,Přijat_na_více_prioritní_školu
809151,2,50,48,75,123,NE,Přijat_na_více_prioritní_školu
806282,3,49,48,73.5,121.5,NE,Přijat_na_více_prioritní_školu
813501,4,49,48,73.5,121.5,NE,Přijat_na_více_prioritní_školu
814033,5,47,48,70.5,118.5,NE,Přijat_na_více_prioritní_školu
811182,7,46,48,69,117,NE,Přijat_na_více_prioritní_školu
815272,8,45,48,67.5,115.5,NE,Přijat_na_více_prioritní_školu
806903,9,46,46,69,115,NE,Přijat_na_více_prioritní_školu
801497,10,47,44,70.5,114.5,NE,Přijat_na_více_prioritní_školu
816389,11,45,47,67.5,114.5,NE,Přijat_na_více_prioritní_školu
805550,12,44,48,66,114,NE,Přijat_na_více_prioritní_školu
801683,13,44,48,66,114,NE,Přijat_na_více_prioritní_školu
811686,14,47,43,70.5,113.5,NE,Přijat_na_více_prioritní_školu
813119,15,45,46,67.5,113.5,NE,Přijat_na_více_prioritní_školu
816166,16,46,44,69,113,NE,Přijat_na_více_prioritní_školu
817073,17,46,43,69,112,NE,Přijat_na_více_prioritní_školu
814596,19,44,46,66,112,NE,Přijat_na_více_prioritní_školu
815458,20,42,49,63,112,NE,Přijat_na_více_prioritní_školu
809785,22,46,42,69,111,NE,Přijat_na_více_prioritní_školu
800883,23,46,42,69,111,NE,Přijat_na_více_prioritní_školu
818236,24,47,40,70.5,110.5,NE,Přijat_na_více_prioritní_školu
812220,26,44,44,66,110,NE,Přijat_na_více_prioritní_školu
810337,28,43,45,64.5,109.5,NE,Přijat_na_více_prioritní_školu
807101,29,41,48,61.5,109.5,NE,Přijat_na_více_prioritní_školu
814577,31,46,40,69,109,NE,Přijat_na_více_prioritní_školu
802831,33,41,47,61.5,108.5,NE,Přijat_na_více_prioritní_školu
809346,35,45,40,67.5,107.5,NE,Přijat_na_více_prioritní_školu
803866,38,43,43,64.5,107.5,NE,Přijat_na_více_prioritní_školu
801454,41,44,41,66,107,NE,Přijat_na_více_prioritní_školu
816243,42,47,36,70.5,106.5,NE,Přijat_na_více_prioritní_školu
813758,43,45,39,67.5,106.5,NE,Přijat_na_více_prioritní_školu
814481,48,41,44,61.5,105.5,NE,Přijat_na_více_prioritní_školu
805464,49,39,46,58.5,104.5,NE,Přijat_na_více_prioritní_školu
810317,51,42,41,63,104,NE,Přijat_na_více_prioritní_školu
811487,54,38,46,57,103,NE,Přijat_na_více_prioritní_školu
805724,55,39,44,58.5,102.5,NE,Přijat_na_více_prioritní_školu
802851,56,44,36,66,102,NE,Přijat_na_více_prioritní_školu
804364,60,41,40,61.5,101.5,NE,Přijat_na_více_prioritní_školu
810236,61,40,41,60,101,NE,Přijat_na_více_prioritní_školu
802436,63,39,42,58.5,100.5,NE,Přijat_na_více_prioritní_školu
805621,67,39,41,58.5,99.5,NE,Přijat_na_více_prioritní_školu
810783,70,40,39,60,99,NE,Přijat_na_více_prioritní_školu
815725,71,40,39,60,99,NE,Přijat_na_více_prioritní_školu
813925,73,34,48,51,99,NE,Přijat_na_více_prioritní_školu
815313,75,40,38,60,98,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
809595,76,40,38,60,98,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
800626,77,38,41,57,98,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
803487,78,38,41,57,98,NE,Přijat_na_více_prioritní_školu
810379,79,39,39,58.5,97.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
809926,80,37,42,55.5,97.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
811637,81,35,45,52.5,97.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
817422,82,38,40,57,97,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
800924,83,34,46,51,97,NE,Přijat_na_více_prioritní_školu
816659,84,37,41,55.5,96.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
807795,85,35,44,52.5,96.5,NE,Přijat_na_více_prioritní_školu
809616,86,42,33,63,96,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
807920,87,38,39,57,96,NE,Přijat_na_více_prioritní_školu
814620,88,38,39,57,96,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
816334,89,35,43,52.5,95.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
807455,90,35,43,52.5,95.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
813951,91,40,35,60,95,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
811071,92,38,38,57,95,NE,Přijat_na_více_prioritní_školu
818062,93,37,39,55.5,94.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
810376,94,31,48,46.5,94.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
800269,95,38,37,57,94,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
811026,96,37,38,55.5,93.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
811625,97,35,41,52.5,93.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
805699,98,33,44,49.5,93.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
810187,99,37,37,55.5,92.5,NE,Přijat_na_více_prioritní_školu
806486,100,35,40,52.5,92.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
809342,101,33,43,49.5,92.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
804834,102,38,35,57,92,NE,Přijat_na_více_prioritní_školu
803834,103,39,33,58.5,91.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
812146,104,33,42,49.5,91.5,NE,Přijat_na_více_prioritní_školu
802689,105,38,34,57,91,NE,Přijat_na_více_prioritní_školu
806907,106,38,34,57,91,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
817091,107,36,37,54,91,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
800542,108,30,46,45,91,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
812008,109,39,32,58.5,90.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
812808,110,39,32,58.5,90.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
803981,111,36,36,54,90,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
814579,112,36,36,54,90,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
809721,113,34,39,51,90,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
813754,114,32,42,48,90,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
800872,115,36,35,54,89,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
810441,116,34,38,51,89,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
803030,117,32,41,48,89,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
818188,118,35,36,52.5,88.5,NE,Přijat_na_více_prioritní_školu
804611,119,36,34,54,88,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
814346,120,34,37,51,88,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
812063,121,28,46,42,88,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
814731,122,37,32,55.5,87.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
802231,123,33,38,49.5,87.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
812851,124,34,36,51,87,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
815561,125,37,31,55.5,86.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
812908,126,33,37,49.5,86.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
806724,127,33,37,49.5,86.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
816575,128,36,32,54,86,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
817769,129,37,30,55.5,85.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
813299,130,33,36,49.5,85.5,NE,Přijat_na_více_prioritní_školu
812683,131,34,34,51,85,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
807613,132,32,37,48,85,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
808721,133,39,26,58.5,84.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
813469,134,35,32,52.5,84.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
819283,135,31,38,46.5,84.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
816654,136,32,36,48,84,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
810139,137,28,42,42,84,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
804647,138,26,45,39,84,NE,Přijat_na_více_prioritní_školu
818107,139,33,34,49.5,83.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
814088,140,27,43,40.5,83.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
800953,141,34,32,51,83,NE,Přijat_na_více_prioritní_školu
814011,142,32,35,48,83,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
807151,143,30,38,45,83,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
808489,144,30,38,45,83,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
815338,145,33,33,49.5,82.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
803430,146,31,36,46.5,82.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
803699,147,29,39,43.5,82.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
810903,148,36,28,54,82,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
813641,149,32,34,48,82,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
811141,150,30,37,45,82,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
816357,151,30,37,45,82,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
809325,152,30,37,45,82,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
813151,153,34,30,51,81,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
816019,154,32,33,48,81,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
801235,155,37,25,55.5,80.5,NE,Přijat_na_více_prioritní_školu
816114,156,31,34,46.5,80.5,NE,Přijat_na_více_prioritní_školu
815943,157,38,23,57,80,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
813281,158,35,27,52.5,79.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
810857,159,31,33,46.5,79.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
817347,160,31,33,46.5,79.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
817028,161,30,34,45,79,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
800672,162,31,32,46.5,78.5,NE,Přijat_na_více_prioritní_školu
819581,163,27,38,40.5,78.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
815634,164,32,30,48,78,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
803777,165,33,28,49.5,77.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
816704,166,31,31,46.5,77.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
813915,167,29,34,43.5,77.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
815384,168,27,37,40.5,77.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
813379,169,27,37,40.5,77.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
815956,170,32,29,48,77,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
817612,171,30,32,45,77,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
816173,172,31,30,46.5,76.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
814996,173,30,31,45,76,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
817394,174,30,31,45,76,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
815329,175,27,35,40.5,75.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
818553,176,38,18,57,75,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
818551,177,30,30,45,75,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
818118,178,30,30,45,75,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
800634,179,28,33,42,75,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
806927,180,33,25,49.5,74.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
811124,181,34,23,51,74,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
810647,182,28,32,42,74,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
813928,183,33,24,49.5,73.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
813784,184,29,30,43.5,73.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
815047,185,25,36,37.5,73.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
812069,186,21,42,31.5,73.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
817392,187,34,22,51,73,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
807727,188,32,25,48,73,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
815029,189,30,28,45,73,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
811554,190,30,28,45,73,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
809720,191,23,38,34.5,72.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
802782,192,30,27,45,72,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
802613,193,28,30,42,72,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
807643,194,20,42,30,72,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
800191,195,27,31,40.5,71.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
806432,196,27,31,40.5,71.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
816061,197,25,34,37.5,71.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
808559,198,28,29,42,71,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
819127,199,29,27,43.5,70.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
810461,200,30,25,45,70,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
817921,201,24,34,36,70,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
805518,202,29,26,43.5,69.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
806504,203,32,21,48,69,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
815271,204,26,30,39,69,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
815848,205,31,22,46.5,68.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
800403,206,31,21,46.5,67.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
818554,207,25,30,37.5,67.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
811295,208,28,25,42,67,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
811310,209,24,31,36,67,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
801353,210,20,37,30,67,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
814317,211,31,20,46.5,66.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
808961,212,31,18,46.5,64.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
800720,213,28,22,42,64,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
800949,214,25,26,37.5,63.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
819577,215,23,29,34.5,63.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
815436,216,23,29,34.5,63.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
814983,217,19,35,28.5,63.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
818125,218,26,24,39,63,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
808480,219,16,39,24,63,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
809887,220,19,34,28.5,62.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
816134,221,24,26,36,62,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
803602,222,24,26,36,62,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
801457,223,20,32,30,62,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
817818,224,25,24,37.5,61.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
816949,225,19,33,28.5,61.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
812850,226,19,33,28.5,61.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
803124,227,15,38,22.5,60.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
801834,228,26,20,39,59,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
801919,229,25,21,37.5,58.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
808039,230,23,22,34.5,56.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
814335,231,23,22,34.5,56.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
819215,232,21,25,31.5,56.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
807573,233,22,23,33,56,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
815274,234,20,26,30,56,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
818290,235,18,29,27,56,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
814960,236,21,24,31.5,55.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
807771,237,18,28,27,55,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
819068,238,19,26,28.5,54.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
812117,239,19,26,28.5,54.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
812208,240,24,18,36,54,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
817655,241,20,24,30,54,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
817810,242,23,19,34.5,53.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
813970,243,20,23,30,53,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
811985,244,20,23,30,53,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
807330,245,18,26,27,53,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
816578,246,21,21,31.5,52.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
813664,247,22,18,33,51,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
807549,248,20,21,30,51,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
802328,249,14,30,21,51,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
819463,250,20,20,30,50,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
818854,251,16,26,24,50,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
812042,252,14,29,21,50,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
815267,253,17,24,25.5,49.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
816434,254,19,20,28.5,48.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
814045,255,13,28,19.5,47.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
803240,256,17,21,25.5,46.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
816299,257,13,27,19.5,46.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
806303,258,18,19,27,46,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
812805,259,17,20,25.5,45.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
800769,260,16,21,24,45,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
813495,261,16,21,24,45,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
817712,262,11,28,16.5,44.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
800570,263,18,17,27,44,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
815201,264,15,21,22.5,43.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
806505,265,19,14,28.5,42.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
819095,266,12,24,18,42,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
811717,267,12,22,18,40,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
804201,268,18,12,27,39,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
817557,269,15,16,22.5,38.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
812987,270,11,21,16.5,37.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
818745,271,14,14,21,35,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
801413,nesplnil,9,21,13.5,34.5,NE,Nepřijat_pro_nesplnění_podmínek_přijímacího_řízení
802078,nesplnil,11,18,16.5,34.5,NE,Nepřijat_pro_nesplnění_podmínek_přijímacího_řízení
813182,nesplnil,13,15,19.5,34.5,NE,Nepřijat_pro_nesplnění_podmínek_přijímacího_řízení
807254,nesplnil,12,16,18,34,NE,Nepřijat_pro_nesplnění_podmínek_přijímacího_řízení
811408,nesplnil,13,14,19.5,33.5,NE,Nepřijat_pro_nesplnění_podmínek_přijímacího_řízení
801689,nesplnil,12,15,18,33,NE,Nepřijat_pro_nesplnění_podmínek_přijímacího_řízení
802847,nesplnil,6,24,9,33,NE,Nepřijat_pro_nesplnění_podmínek_přijímacího_řízení
807147,nesplnil,12,14,18,32,NE,Nepřijat_pro_nesplnění_podmínek_přijímacího_řízení
805162,nesplnil,11,14,16.5,30.5,NE,Nepřijat_pro_nesplnění_podmínek_přijímacího_řízení
816230,nesplnil,11,13,16.5,29.5,NE,Nepřijat_pro_nesplnění_podmínek_přijímacího_řízení
803256,nesplnil,11,12,16.5,28.5,NE,Nepřijat_pro_nesplnění_podmínek_přijímacího_řízení
817055,nesplnil,10,11,15,26,NE,Nepřijat_pro_nesplnění_podmínek_přijímacího_řízení
807361,nesplnil,7,14,10.5,24.5,NE,Nepřijat_pro_nesplnění_podmínek_přijímacího_řízení
817779,nesplnil,10,9,15,24,NE,Nepřijat_pro_nesplnění_podmínek_přijímacího_řízení
