Reg_cislo,Poradi,CJL_body,MA_body,MA_skola,Celkem,Prijat,Důvod_neprijeti
807510,2,48,50,75,123,ANO
818340,4,47,50,75,122,ANO
801362,12,47,48,72,119,ANO
808781,16,43,50,75,118,ANO
811182,17,46,48,72,118,ANO
809759,19,46,48,72,118,ANO
808804,22,45,48,72,117,ANO
816273,24,41,50,75,116,ANO
814717,26,47,46,69,116,ANO
811598,28,42,49,73.5,115.5,ANO
811260,32,39,50,75,114,ANO
803590,34,45,46,69,114,ANO
805547,37,42,47,70.5,112.5,ANO
811852,41,40,48,72,112,ANO
806106,44,43,46,69,112,ANO
809845,50,37,49,73.5,110.5,ANO
803846,51,40,47,70.5,110.5,ANO
810657,54,39,47,70.5,109.5,ANO
806782,55,39,47,70.5,109.5,ANO
809590,56,42,45,67.5,109.5,ANO
818345,58,43,44,66,109,ANO
808925,63,38,46,69,107,ANO
810278,66,41,44,66,107,ANO
801786,67,36,47,70.5,106.5,ANO
816036,70,37,46,69,106,ANO
811023,71,43,42,63,106,ANO
811305,72,38,45,67.5,105.5,ANO
801112,73,39,44,66,105,ANO
817114,74,35,46,69,104,ANO
815710,75,38,44,66,104,ANO
809353,1,48,50,75,123,NE,Přijat_na_více_prioritní_školu
800677,3,47,50,75,122,NE,Přijat_na_více_prioritní_školu
815058,5,50,48,72,122,NE,Přijat_na_více_prioritní_školu
809171,6,50,48,72,122,NE,Přijat_na_více_prioritní_školu
805184,7,46,50,75,121,NE,Přijat_na_více_prioritní_školu
812618,8,46,50,75,121,NE,Přijat_na_více_prioritní_školu
813501,9,49,48,72,121,NE,Přijat_na_více_prioritní_školu
805312,10,44,50,75,119,NE,Přijat_na_více_prioritní_školu
804308,11,47,48,72,119,NE,Přijat_na_více_prioritní_školu
809292,13,47,48,72,119,NE,Přijat_na_více_prioritní_školu
811453,14,47,48,72,119,NE,Přijat_na_více_prioritní_školu
805130,15,43,50,75,118,NE,Přijat_na_více_prioritní_školu
811606,18,46,48,72,118,NE,Přijat_na_více_prioritní_školu
803888,20,42,50,75,117,NE,Přijat_na_více_prioritní_školu
804278,21,45,48,72,117,NE,Přijat_na_více_prioritní_školu
810484,23,48,46,69,117,NE,Přijat_na_více_prioritní_školu
815063,25,44,48,72,116,NE,Přijat_na_více_prioritní_školu
803903,27,47,46,69,116,NE,Přijat_na_více_prioritní_školu
812016,29,45,47,70.5,115.5,NE,Přijat_na_více_prioritní_školu
800066,30,44,47,70.5,114.5,NE,Přijat_na_více_prioritní_školu
815411,31,44,47,70.5,114.5,NE,Přijat_na_více_prioritní_školu
811178,33,45,46,69,114,NE,Přijat_na_více_prioritní_školu
812753,35,41,48,72,113,NE,Přijat_na_více_prioritní_školu
818406,36,41,48,72,113,NE,Přijat_na_více_prioritní_školu
803935,38,42,47,70.5,112.5,NE,Přijat_na_více_prioritní_školu
811574,39,40,48,72,112,NE,Přijat_na_více_prioritní_školu
816367,40,40,48,72,112,NE,Přijat_na_více_prioritní_školu
806814,42,40,48,72,112,NE,Přijat_na_více_prioritní_školu
810490,43,40,48,72,112,NE,Přijat_na_více_prioritní_školu
808214,45,41,47,70.5,111.5,NE,Přijat_na_více_prioritní_školu
810622,46,44,45,67.5,111.5,NE,Přijat_na_více_prioritní_školu
